,model_number,sample_type,metric_type,score
626,78,train,recall,0.9691151515151515
627,78,train,f1_score,0.8258992211226576
628,78,validate,f1_score,0.8215799614643545
629,78,validate,accuracy,0.7115714063230026
630,78,validate,precision,0.715256227459532
631,78,validate,recall,0.9650333823695825
632,79,train,accuracy,0.721256215999733
633,79,train,precision,0.722119665544576
634,79,train,recall,0.9672727272727273
635,79,train,f1_score,0.8269087291718478
636,79,validate,f1_score,0.8201626961069146
637,79,validate,accuracy,0.7107927114156674
638,79,validate,precision,0.7168006771053745
639,79,validate,recall,0.958356908453095
640,80,train,accuracy,0.7233254347028001
641,80,train,precision,0.7245912384836678
642,80,train,recall,0.9647515151515151
643,80,train,f1_score,0.8276005490163457
644,80,validate,f1_score,0.8186879690147665
645,80,validate,accuracy,0.7083787572029279
646,80,validate,precision,0.7154340836012861
647,80,validate,recall,0.9567726604051149
648,81,train,accuracy,0.7033341120715549
649,81,train,precision,0.7026243093922652
650,81,train,recall,0.986569696969697
651,81,train,f1_score,0.8207320762327317
652,81,validate,f1_score,0.8200498424789581
653,81,validate,accuracy,0.7019934589627784
654,81,validate,precision,0.7015285599356396
655,81,validate,recall,0.9867602127418807
656,82,train,accuracy,0.7049027133464606
657,82,train,precision,0.7056441760619917
658,82,train,recall,0.980169696969697
659,82,train,f1_score,0.8205544506230465
660,82,validate,f1_score,0.8187798759998106
661,82,validate,accuracy,0.7018377199813113
662,82,validate,precision,0.7037097299056296
663,82,validate,recall,0.9788389725019803
664,83,train,accuracy,0.7102092580849715
665,83,train,precision,0.7167332123411978
666,83,train,recall,0.9573818181818182
667,83,train,f1_score,0.8197612869745718
668,83,validate,f1_score,0.8187451587916343
669,83,validate,accuracy,0.7084566266936614
670,83,validate,precision,0.7154581605888823
671,83,validate,recall,0.9568858209799705
672,84,train,accuracy,0.7129793411874645
673,84,train,precision,0.7131563087176942
674,84,train,recall,0.9753212121212121
675,84,train,f1_score,0.8238859764089121
676,84,validate,f1_score,0.8221819223060036
677,84,validate,accuracy,0.7098582775268649
678,84,validate,precision,0.7109020384583643
679,84,validate,recall,0.9747651918071744
680,85,train,accuracy,0.7156826752995361
681,85,train,precision,0.715777841152146
682,85,train,recall,0.9735272727272727
683,85,train,f1_score,0.8249892146188138
684,85,validate,f1_score,0.8211343169189499
685,85,validate,accuracy,0.7092353216009968
686,85,validate,precision,0.7119362073261899
687,85,validate,recall,0.9698992870883784
688,86,train,accuracy,0.7194873677535627
689,86,train,precision,0.7200216060496939
690,86,train,recall,0.9694545454545455
691,86,train,f1_score,0.8263250335778489
692,86,validate,f1_score,0.8217726396917148
693,86,validate,accuracy,0.7118828842859368
694,86,validate,precision,0.7154239704772288
695,86,validate,recall,0.9652597035192939
696,87,train,accuracy,0.7227246937890064
697,87,train,precision,0.7221761246798225
698,87,train,recall,0.970569696969697
699,87,train,f1_score,0.8281482707264604
700,87,validate,f1_score,0.8211299598859407
701,87,validate,accuracy,0.7118050147952032
702,87,validate,precision,0.7166357347730724
703,87,validate,recall,0.9612990833993437
704,88,train,accuracy,0.7238260521309615
705,88,train,precision,0.72378053199971
706,88,train,recall,0.9683393939393939
707,88,train,f1_score,0.8283871502934528
708,88,validate,f1_score,0.8188451316743174
709,88,validate,accuracy,0.7080672792399938
710,88,validate,precision,0.7145387080452016
711,88,validate,recall,0.9588095507525178
712,89,train,accuracy,0.6974935754096719
713,89,train,precision,0.698335906673529
714,89,train,recall,0.9868121212121213
715,89,train,f1_score,0.8178822583885876
716,89,validate,f1_score,0.8176448528033002
717,89,validate,accuracy,0.6970876810465659
